id;page;word;recall;connect;tajweed;makhraj;create_timestamp
1;62277;64158;false;false;false;false;2019-11-28T04:53:10
2;32956;80319;false;false;true;true;2019-11-28T08:03:01
3;97108;82359;false;true;true;false;2019-11-28T07:15:40
4;5114;76741;true;false;false;false;2019-11-28T20:22:58
5;17570;67179;true;false;true;true;2019-11-28T03:30:28
6;54203;71041;false;false;true;false;2019-11-28T07:24:56
7;28733;78646;true;false;true;true;2019-11-28T20:19:59
8;61651;24486;true;true;true;false;2019-11-28T06:58:16
9;1322;53168;false;false;false;false;2019-11-28T13:40:25
10;61890;63304;false;true;true;false;2019-11-28T15:02:07
